0, 0
0.1256, 0.12527
0.2512, 0.248566
0.3768, 0.367947
0.5024, 0.48153
0.628, 0.587528
0.7536, 0.684268
0.8792, 0.770229
1.0048, 0.844055
1.1304, 0.904583
1.256, 0.950859
1.3816, 0.982156
1.5072, 0.997978
1.6328, 0.998078
1.7584, 0.982454
1.884, 0.951351
2.0096, 0.905261
2.1352, 0.844908
2.2608, 0.771244
2.3864, 0.685429
2.512, 0.588816
2.6376, 0.482925
2.7632, 0.369427
2.8888, 0.250109
3.0144, 0.12685
3.14, 0.00159231
3.2656, -0.12369
3.3912, -0.247024
3.5168, -0.366466
3.6424, -0.480134
3.768, -0.586238
3.8936, -0.683106
4.0192, -0.769212
4.1448, -0.8432
4.2704, -0.903903
4.396, -0.950365
4.5216, -0.981855
4.6472, -0.997876
4.7728, -0.998176
4.8984, -0.98275
5.024, -0.951841
5.1496, -0.905936
5.2752, -0.845758
5.4008, -0.772256
5.5264, -0.686587
5.652, -0.590102
5.7776, -0.484319
5.9032, -0.370906
6.0288, -0.25165
6.1544, -0.128429
6.28, -0.00318462
